id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
0JX7Es2j556FwtR6YqMKzP,Slow Motion Angreza,0.802,0.763,0,-6.456,1,0.0336,0.22,0.000396,0.128,0.789,120.078,audio_features,0JX7Es2j556FwtR6YqMKzP,spotify:track:0JX7Es2j556FwtR6YqMKzP,https://api.spotify.com/v1/tracks/0JX7Es2j556FwtR6YqMKzP,https://api.spotify.com/v1/audio-analysis/0JX7Es2j556FwtR6YqMKzP,260507,4,mem_4
0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,0.537,0.903,0,-3.997,0,0.0505,0.0338,1.53e-05,0.341,0.571,120.069,audio_features,0v1XpBHnsbkCn7iJ9Ucr1l,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4,mem_4
22NN4BS1AlqVbyKIWExgON,Mamma Mia,0.75,0.754,2,-6.999,1,0.0327,0.287,0.000207,0.444,0.83,137.533,audio_features,22NN4BS1AlqVbyKIWExgON,spotify:track:22NN4BS1AlqVbyKIWExgON,https://api.spotify.com/v1/tracks/22NN4BS1AlqVbyKIWExgON,https://api.spotify.com/v1/audio-analysis/22NN4BS1AlqVbyKIWExgON,215267,4,mem_4
1cmZbGkCEVVAck2MsWpPYQ,Hasi - Female Version,0.52,0.485,4,-6.438,0,0.0269,0.927,0.000466,0.159,0.407,143.901,audio_features,1cmZbGkCEVVAck2MsWpPYQ,spotify:track:1cmZbGkCEVVAck2MsWpPYQ,https://api.spotify.com/v1/tracks/1cmZbGkCEVVAck2MsWpPYQ,https://api.spotify.com/v1/audio-analysis/1cmZbGkCEVVAck2MsWpPYQ,192187,4,mem_4
2bJZCUnAI9Se6MmtQy8Fcv,Deewana Tera,0.682,0.55,2,-11.072,1,0.0804,0.454,2.37e-05,0.0693,0.839,104.975,audio_features,2bJZCUnAI9Se6MmtQy8Fcv,spotify:track:2bJZCUnAI9Se6MmtQy8Fcv,https://api.spotify.com/v1/tracks/2bJZCUnAI9Se6MmtQy8Fcv,https://api.spotify.com/v1/audio-analysis/2bJZCUnAI9Se6MmtQy8Fcv,360760,4,mem_4
2s1sdSqGcKxpPr5lCl7jAV,Chandelier,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,audio_features,2s1sdSqGcKxpPr5lCl7jAV,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/tracks/2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/audio-analysis/2s1sdSqGcKxpPr5lCl7jAV,216120,5,mem_4
2s1sdSqGcKxpPr5lCl7jAV,Chandelier,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,audio_features,2s1sdSqGcKxpPr5lCl7jAV,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/tracks/2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/audio-analysis/2s1sdSqGcKxpPr5lCl7jAV,216120,5,mem_4
5PatlLJYn8gWxnQnepzMjW,"Twist (From ""Love Aaj Kal"")",0.721,0.944,7,-4.995,1,0.142,0.0393,5.86e-05,0.0747,0.728,109.014,audio_features,5PatlLJYn8gWxnQnepzMjW,spotify:track:5PatlLJYn8gWxnQnepzMjW,https://api.spotify.com/v1/tracks/5PatlLJYn8gWxnQnepzMjW,https://api.spotify.com/v1/audio-analysis/5PatlLJYn8gWxnQnepzMjW,299440,4,mem_4
0up9rhm9qt2LW7cnoDFCMk,Jiyein Kyun,0.392,0.609,4,-5.953,1,0.0416,0.0558,2.18e-06,0.107,0.347,71.398,audio_features,0up9rhm9qt2LW7cnoDFCMk,spotify:track:0up9rhm9qt2LW7cnoDFCMk,https://api.spotify.com/v1/tracks/0up9rhm9qt2LW7cnoDFCMk,https://api.spotify.com/v1/audio-analysis/0up9rhm9qt2LW7cnoDFCMk,264963,4,mem_4
1VrheK4CdhX74nrOSNIFtH,Pehla Nasha,0.458,0.34,5,-14.309,1,0.0333,0.774,2.01e-05,0.0799,0.516,151.979,audio_features,1VrheK4CdhX74nrOSNIFtH,spotify:track:1VrheK4CdhX74nrOSNIFtH,https://api.spotify.com/v1/tracks/1VrheK4CdhX74nrOSNIFtH,https://api.spotify.com/v1/audio-analysis/1VrheK4CdhX74nrOSNIFtH,291400,4,mem_4
4FlhygjvXG7hcCerCXEdqI,"Khuda Hafiz Anjaani Anjaana (From ""Yuva"")",0.613,0.598,2,-8.786,0,0.0443,0.0402,0.00972,0.111,0.27,120.021,audio_features,4FlhygjvXG7hcCerCXEdqI,spotify:track:4FlhygjvXG7hcCerCXEdqI,https://api.spotify.com/v1/tracks/4FlhygjvXG7hcCerCXEdqI,https://api.spotify.com/v1/audio-analysis/4FlhygjvXG7hcCerCXEdqI,303547,4,mem_4
