name,popularity,danceability,energy,valence,tempo,team_member_id
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",57,0.495,0.654,0.35,123.896,mem_3
Bulleya,59,0.552,0.769,0.702,86.957,mem_3
Done for Me,73,0.856,0.632,0.697,112.009,mem_3
I Like Me Better,79,0.752,0.505,0.419,91.97,mem_3
Tu Hai,27,0.56,0.73,0.495,104.801,mem_3
"Tum Hi Ho Bandhu (From ""Cocktail"")",52,0.714,0.892,0.899,134.997,mem_3
Dhat Teri Ki,46,0.81,0.744,0.96,120.041,mem_3
"Ae Zindagi Gale Laga Le - Take, 1",46,0.494,0.712,0.386,156.059,mem_3
"Thunderclouds (feat. Sia, Diplo, and Labrinth)",80,0.69,0.714,0.489,112.009,mem_3
Saibo,58,0.619,0.428,0.542,90.056,mem_3
The Humma Song,62,0.721,0.65,0.391,130.491,mem_3
Slow Motion Angreza,44,0.802,0.763,0.789,120.078,mem_3
It's My Life,79,0.537,0.903,0.571,120.069,mem_3
Mamma Mia,64,0.75,0.754,0.83,137.533,mem_3
Hasi - Female Version,58,0.52,0.485,0.407,143.901,mem_3
Deewana Tera,36,0.682,0.55,0.839,104.975,mem_3
Chandelier,71,0.399,0.787,0.572,117.089,mem_3
"Twist (From ""Love Aaj Kal"")",44,0.721,0.944,0.728,109.014,mem_3
Jiyein Kyun,53,0.392,0.609,0.347,71.398,mem_3
Pehla Nasha,49,0.458,0.34,0.516,151.979,mem_3
"Khuda Hafiz Anjaani Anjaana (From ""Yuva"")",27,0.613,0.598,0.27,120.021,mem_3
Disco Deewane,43,0.731,0.474,0.961,113.888,mem_3
Love Story,69,0.618,0.741,0.296,118.984,mem_3
Kab Se Kab Tak,53,0.772,0.588,0.262,82.969,mem_3
Apna Time Aayega,64,0.766,0.618,0.513,95.054,mem_3
I Knew You Were Trouble.,77,0.622,0.469,0.679,77.019,mem_3
Slow It Down,60,0.733,0.754,0.849,115.024,mem_3
I'm a Mess,82,0.63,0.694,0.216,97.005,mem_3
"Ilahi (From ""Yeh Jawaani Hai Deewani"")",39,0.594,0.967,0.452,132.009,mem_3
Zara Sa Jhoom Loon Main,45,0.606,0.553,0.868,130.657,mem_3
LA Girls,62,0.869,0.642,0.917,99.992,mem_3
I Am A Disco Dancer,28,0.562,0.711,0.602,131.209,mem_3
Ibn - E - Batuta,25,0.744,0.751,0.445,88.979,mem_3
Rockabye (feat. Sean Paul & Anne-Marie),69,0.717,0.73,0.792,102.002,mem_3
Tu Meri,59,0.679,0.688,0.424,127.951,mem_3
Rappan Rappi Rap,32,0.933,0.768,0.843,116.019,mem_3
Dum Dum,38,0.748,0.812,0.906,99.994,mem_3
Shape of You,77,0.825,0.652,0.931,95.977,mem_3
Iktara,52,0.616,0.525,0.427,79.976,mem_3
Roobaroo,57,0.675,0.582,0.538,120.991,mem_3
The Way I Am,72,0.755,0.769,0.642,114.966,mem_3
"Awaara (From ""7 Khoon Maaf"")",5,0.281,0.618,0.391,68.622,mem_3
Thinking out Loud,66,0.781,0.445,0.591,78.998,mem_3
Aadha Ishq,38,0.546,0.505,0.522,82.917,mem_3
Hello,73,0.481,0.451,0.289,157.966,mem_3
Tareefan,67,0.829,0.654,0.335,98.012,mem_3
Rangili Raatno,4,0.51,0.32,0.641,79.566,mem_3
Kyon,53,0.726,0.664,0.831,121.923,mem_3
"Bandook Meri Laila (From ""A Gentleman"") (feat. Raftaar, Sidharth Malhotra)",56,0.746,0.782,0.665,98.976,mem_3
Asli Hip Hop,55,0.667,0.641,0.963,169.968,mem_3
Zara Zara,46,0.635,0.268,0.62,143.771,mem_3
Tum Tak,51,0.72,0.621,0.566,114.987,mem_3
Hawa Hawai,31,0.695,0.774,0.889,175.933,mem_3
Immigrant Song - Remaster,79,0.564,0.932,0.619,112.937,mem_3
Eye of the Tiger,77,0.817,0.599,0.548,108.873,mem_3
Phir Le Aya Dil,47,0.414,0.432,0.613,76.688,mem_3
Bezubaan,46,0.416,0.573,0.163,102.041,mem_3
Gori Teri Aankhen,41,0.381,0.617,0.691,89.101,mem_3
New Rules,83,0.762,0.7,0.608,116.073,mem_3
Highway to Hell,85,0.573,0.913,0.422,115.715,mem_3
Dancing Queen,73,0.539,0.884,0.752,100.812,mem_3
